Name,Description,Brain1,Brain2,Brain3,Blood1,Blood2,Blood3
ENSG00000130768,SMPDL3B,0.3496,0.2641,0.0246,0.6167,0.0462,0.6463
ENSG00000227050,RP11-460I13.2,0,0,0,0,0,0
ENSG00000158156,XKR8,4.977,5.166,1.661,28.49,1.579,48.49
ENSG00000158161,EYA3,4.729,3.377,1.053,3.584,0.3493,6.62
ENSG00000238231,RP11-460I13.6,0.0606,0.0725,0,0.7485,0.1524,1.611
ENSG00000240750,RN7SL559P,0,0,0,0.2643,0,0
ENSG00000228589,SPCS2P4,0.5554,1.016,0.8316,0.4034,0.1642,0.8683
ENSG00000228943,RP5-1053E7.2,0,0,0,0,0,0
ENSG00000214812,RP5-1053E7.3,0,0.0955,0,0,0,0.1517
ENSG00000253005,RNU6-176P,0,0,0,0,0,0.4023
ENSG00000169403,PTAFR,1.711,4.591,0.2027,14.09,1.123,16.67
ENSG00000126698,DNAJC8,60.97,47.4,22.09,14.62,2.498,30.19
ENSG00000130770,ATPIF1,123.9,57.87,26.38,16.88,2.551,38.08
ENSG00000270605,RP5-1092A3.4,0.7092,0.8617,0.2912,1.311,0.3306,2.975
ENSG00000271398,RP5-1092A3.5,0.157,0,0,0,0,0
ENSG00000130766,SESN2,5.36,12.84,1.588,9.626,0.5506,17.91
ENSG00000130772,MED18,4.419,3.492,1.476,1.71,0.457,2.552
ENSG00000204138,PHACTR4,5.334,4.118,1.44,2.785,0.2409,6.667
ENSG00000206779,Y_RNA,0,0,0,0,0,0
ENSG00000229820,RP1-308E4.1,0,0,0,0,0,0
ENSG00000221216,RNU6ATAC27P,0,0,0,0,0,0
ENSG00000180198,RCC1,2.483,2.919,0.6412,7.112,0.7368,12.73
ENSG00000274266,SNORA73A,0.216,1.55,0,1.334,0.2715,4.921
ENSG00000200087,SNORA73B,0.1091,1.695,0,1.347,0.2741,5.797
ENSG00000231468,PRDX3P2,0.1092,0,0,0.1285,0,0
ENSG00000279443,RP4-669K10.8,0.1175,0.0766,0,0.1507,0,0.1419
ENSG00000180098,TRNAU1AP,4.519,4.68,1.946,2.663,0.3379,4.368
ENSG00000197989,SNHG12,4.951,7.791,1.948,8.105,1.017,16.35
ENSG00000221539,SNORD99,0,0,0,0,0,0
ENSG00000278274,SNORA61,4.963,10.44,3.439,4.226,0.4302,10.72
ENSG00000273544,SNORA44,0.6742,3.628,0,4.459,0,13.12
ENSG00000274582,SNORA16A,0,0,0,0,0,0
ENSG00000120656,TAF12,8.691,8.845,3.303,8.682,2.022,17.13
ENSG00000188060,RAB42,0.3539,0.4233,0.0677,0.1249,0,0.7872
ENSG00000229388,LINC01715,0.6369,1.143,0.4267,0.1605,0.0572,0.2591
ENSG00000274978,RNU11,0,0,0,0,0,0
ENSG00000162419,GMEB1,1.77,1.458,0.5815,3.336,0.3506,5.245
ENSG00000252777,SCARNA24,0,0,0,0,0,0
ENSG00000198492,YTHDF2,13.09,11.49,3.522,8.746,0.7463,15.99
ENSG00000116329,OPRD1,0.9403,0.1869,0.1351,0.0712,0.0254,0.1292
ENSG00000233427,RP1-212P9.3,0.0394,0.0942,0,0,0,0.0748
ENSG00000199756,Y_RNA,0.2022,0,0,0,0,0
ENSG00000159023,EPB41,1.117,3.273,0.3358,16.48,9.764,31.17
ENSG00000225616,RP4-604A21.1,0,0.2411,0,0.2371,0,0
ENSG00000206704,Y_RNA,0,0,0,0,0,0
ENSG00000277958,Metazoa_SRP,0,0,0,0.2783,0,0
ENSG00000253304,TMEM200B,1.256,1.383,0.3394,0.0389,0.0277,0
ENSG00000225750,RP11-242O24.3,0.0797,0,0,0,0,0
ENSG00000116350,SRSF4,34.95,39.4,10.04,65.96,7.615,115.5
ENSG00000277916,uc_338,0.2633,0,0,0,0,0
ENSG00000116353,MECR,13.57,8.31,4.795,1.431,0.1426,4.588
ENSG00000237934,RP11-467D18.2,0.0388,0.0464,0,0,0.0976,0
ENSG00000060656,PTPRU,6.88,5.133,2.295,0.0617,0.0391,0.3761
ENSG00000230523,LINC01756,0,0,0,0,0,0
ENSG00000225011,RP11-810H18.1,0,0,0,0,0,0
ENSG00000228176,RP4-656G21.1,0,0,0,0,0,0
ENSG00000270927,RP11-179G8.1,0,0,0,0,0,0
ENSG00000233399,LINC01648,0.0439,0,0,0,0,0
ENSG00000233372,RP5-893G23.1,0,0,0,0.1424,0,0.3833
ENSG00000231251,RP3-357I16.1,0,0,0,0,0,0
ENSG00000236335,RP4-591L5.1,0,0,0,0,0,0
ENSG00000231949,RP4-591L5.2,0,0,0,0,0,0
ENSG00000162510,MATN1,0.4308,0.2752,0.1265,0.1145,0.0222,0.1905
ENSG00000186056,MATN1-AS1,0.7048,0.8763,0.1402,1.674,0.0877,4.955
ENSG00000162511,LAPTM5,17.57,77.03,3.35,1264,88.14,1652
ENSG00000264773,MIR4420,0,0,0,0,0,0.5486
ENSG00000229607,RP5-1125N11.1,0,0,0,0,0,0
ENSG00000223382,LINC01778,0.1892,0.0646,0.1087,0,0,0
ENSG00000222784,RN7SKP91,0,0,0,0,0,0
ENSG00000235143,RP1-65J11.5,0.0127,0.0305,0,0,0,0
ENSG00000162512,SDC3,107.7,86.75,26.49,3.121,0.1503,1.028
ENSG00000266210,RN7SL371P,0,0,0,0,0,0
ENSG00000134644,PUM1,20.76,14.65,7.27,4.419,0.6016,7.204
ENSG00000237329,RP11-201O14.1,0,0,0,0,0,0
ENSG00000232768,RP11-201O14.2,0,0,0,0,0,0
ENSG00000215900,SELENOWP1,0,0,0,0.3115,0,0
ENSG00000225142,RP11-490K7.1,0,0,0,0,0,0.0969
ENSG00000084628,NKAIN1,2.197,4.256,1.77,0,0.0208,0.392
ENSG00000060688,SNRNP40,5.067,5.676,1.091,6.077,0.5403,11.18
ENSG00000229447,RP11-490K7.4,0.3055,0.1826,0,0.0898,0,0.7732
ENSG00000121766,ZCCHC17,89.41,60.96,30.92,7.201,1.42,10.16
ENSG00000229044,RP11-266K22.2,0.7977,0.106,0,0,0,0
ENSG00000121769,FABP3,108.8,32.57,10.78,1.033,0.9538,66.03
ENSG00000168528,SERINC2,0.3134,0.9745,0.1428,5.916,5.302,6.95
ENSG00000215899,RP11-439L8.2,0.0829,0,0.0222,0.0292,0.0208,0
ENSG00000206981,RNU6-40P,0,0,0,0,0,0
ENSG00000260386,LINC01225,0,0,0.0117,0,0,0
ENSG00000265961,Y_RNA,0,0,0,0,0,0
ENSG00000284543,LINC01226,0.0024,0.0056,0,0.0166,0,0.0045
ENSG00000229167,RP11-73M7.1,0,0,0,0,0,0
ENSG00000142910,TINAGL1,4.853,4.307,0.2709,0.3047,0.1694,0.7598
ENSG00000121764,HCRTR1,0.2283,0.105,0.0235,0.0155,0,0
ENSG00000162517,PEF1,47.52,40.87,14,41.88,4.119,70.82
ENSG00000235790,RP11-73M7.6,1.779,1.077,0.2167,0,0,0.0219
ENSG00000264078,RP11-73M7.9,0.4529,0,0,0,0,0
ENSG00000084636,COL16A1,26.56,13.25,3.459,0.2052,0.0203,0.1963
ENSG00000121753,ADGRB2,61.12,28.8,10.99,0.5424,0.1954,1.373
ENSG00000266580,MIR4254,0,0,0,0,0,0
ENSG00000254545,RP11-84A19.3,0,0,0,0,0,0
ENSG00000134668,SPOCD1,0.37,0.6606,0.0559,0.6343,0.1113,2.137
ENSG00000203620,RP11-84A19.2,0.0099,0.0236,0.0264,0,0,0
ENSG00000269967,RP11-84A19.4,0.0758,0.0906,0,1.07,0.0953,2.231
ENSG00000184007,PTP4A2,96.54,97.02,56.9,51.96,11.16,76.2
ENSG00000228634,RP4-534N18.2,0.0861,0,0,0.4554,0,0.7353
ENSG00000121774,KHDRBS1,37.03,29.43,15.05,26.02,2.728,43.27
ENSG00000203325,RP11-277A4.4,0.0357,0.1279,0,0.1258,0,0.0677
ENSG00000121775,TMEM39B,6.84,3.651,1.49,5.831,0.585,11.68
ENSG00000266203,MIR5585,0,0,0,0,0,0
ENSG00000276493,Metazoa_SRP,0,0,0,0.1349,0,0
ENSG00000025800,KPNA6,10.96,9.653,1.938,11.1,1.453,22.24
ENSG00000084652,TXLNA,11.07,15.13,3.709,7.26,0.6685,12.81
ENSG00000160050,CCDC28B,7.148,6.488,2.932,3.318,0.5351,7.012
ENSG00000224066,RP4-622L5.7,1.187,0.2838,0,0.1046,0,0.7885
ENSG00000160051,IQCC,2.913,1.691,0.3533,0.9515,0.0452,2.185
ENSG00000222046,DCDC2B,0.0586,0.035,0,0.1034,0,0.167
ENSG00000160055,TMEM234,5.177,3.566,1.031,6.278,0.4067,12.54
ENSG00000084623,EIF3I,77.46,85.89,25.3,78.39,8.532,134.7
ENSG00000220785,MTMR9LP,6.251,5.786,0.9664,0.3843,0.085,0.8844
ENSG00000183615,FAM167B,0.6655,2.16,0.6687,0.6289,0.1792,4.107
ENSG00000182866,LCK,0.2143,0.0923,0.0345,108.2,11.9,205.9
ENSG00000277617,Metazoa_SRP,0,0,0,0,0,0
ENSG00000252450,Y_RNA,0,0,0,0,0,0
ENSG00000116478,HDAC1,17.53,22.4,8.092,45.09,5.62,92.71
ENSG00000175130,MARCKSL1,334.8,324.4,168.6,51.85,0.8558,81.67
ENSG00000233775,RP4-811H24.9,0.1619,0,0,0,0,0
ENSG00000162526,TSSK3,1.388,2.043,0.2151,2.974,0.5044,7.599
ENSG00000225828,FAM229A,8.775,11.16,4.808,4.258,0.82,11.4
ENSG00000160058,BSDC1,38.59,31.15,10.12,18.71,2.814,31.12
ENSG00000224333,GAPDHP20,0,0,0,0,0,0
ENSG00000270850,RP11-395N6.4,0,0,0,0,0,0
ENSG00000229259,LRRC37A12P,0,0.0148,0,0.0218,0,0
ENSG00000263529,RN7SL122P,0,0,0,0,0,0
ENSG00000273274,ZBTB8B,1.021,0.4768,0.281,0.0031,0,0.0033
ENSG00000160062,ZBTB8A,1.574,1.08,0.4625,0.0341,0,0.0735
ENSG00000176261,ZBTB8OS,11.06,7.625,3.244,1.155,0.4115,2.225
ENSG00000200591,Y_RNA,0,0,0,0,0,0
ENSG00000162521,RBBP4,21.86,19.98,8.283,7.698,1.212,13.91
ENSG00000162520,SYNC,3.373,2.002,0.9372,0.2203,0,0.166
ENSG00000224409,RP11-114B7.6,0,0,0,0,0.1416,0
ENSG00000162522,KIAA1522,20.2,7.478,4.096,0.5014,0.0965,0.7876
ENSG00000134684,YARS,13.39,15.98,3.104,17.72,1.238,23.02
ENSG00000116497,S100PBP,4.349,5.085,1.109,2.071,0.3157,4.409
ENSG00000160097,FNDC5,12.93,8.204,10.36,0.0625,0.0445,2.341
ENSG00000121905,HPCA,123.7,38.5,22.2,0,0,0.1211
ENSG00000121900,TMEM54,51.02,46.05,29.76,0.1677,0.0239,0.5776
ENSG00000116514,RNF19B,6.99,16.45,1.941,44.08,2.282,53.63
ENSG00000278966,RP5-1174N9.2,0.1465,0,0.0982,0.5169,0,0.5564
ENSG00000217644,RP4-803A2.1,0.0846,0,0,0,0,0.2409
ENSG00000239670,RP4-803A2.2,0,0,0,0,0,0.1367
ENSG00000004455,AK2,13.35,20.2,5.907,22.05,1.822,30.58
ENSG00000276645,Metazoa_SRP,0,0,0,0,0,0
ENSG00000236065,RP1-117O3.2,0.0845,0.0404,0,0.0894,0,0.2886
ENSG00000142920,AZIN2,6.387,4.75,1.486,0.5026,0.0895,1.539
ENSG00000278997,RP11-131M11.2,0.5725,0.8999,0,0.4617,0.1645,1.46
ENSG00000116525,TRIM62,7.871,5.209,0.932,5.417,0.3387,8.257
ENSG00000279179,RP11-131M11.3,0.1726,0.1667,0.0622,0.679,0.0751,0.8317
ENSG00000160094,ZNF362,18.02,11.95,5.201,7.517,0.4588,13.44
ENSG00000270115,RP11-415J8.7,0.0474,0.2269,0,0.251,0,0.1801
ENSG00000184389,A3GALT2,0.0242,0,0,0.213,0.0607,0.0917
ENSG00000225313,RP11-415J8.3,0.4395,0.696,0.0398,3.803,0.5076,3.665
ENSG00000134686,PHC2,27.31,40.18,7.203,117.7,18.76,99.28
ENSG00000284154,MIR3605,0,0,0,2.23,0.3177,3.84
ENSG00000222112,RN7SKP16,0.2976,0.3559,0,7.481,0.6546,6.357
ENSG00000233246,RP11-415J8.5,0,0,0,0,0.0571,0.0862
ENSG00000234512,TLR12P,0.0164,0,0,0.0145,0,0
ENSG00000121903,ZSCAN20,0.5616,0.4862,0.1011,0.0444,0.0211,0.1114
ENSG00000235907,RP4-580O19.2,0.0604,0,0.0405,0,0,0
ENSG00000121904,CSMD2,1.86,0.7443,0.2561,0,0,0.0023
ENSG00000227000,HSPD1P14,0,0,0,0,0,0
ENSG00000176256,HMGB4,0.0348,0,0,0.0613,0,0
ENSG00000231163,CSMD2-AS1,0,0,0,0,0,0
ENSG00000201148,RNA5SP42,0,0,0,0,0,0
ENSG00000142698,C1orf94,0.7945,1.136,0.3934,0,0,0.0328
ENSG00000270241,RP4-657M3.2,0,0,0,0,0,0
ENSG00000207941,MIR552,0,0,0,0,0,0
ENSG00000163866,SMIM12,5.057,5.383,1.293,3.555,0.4285,6.082
ENSG00000189280,GJB5,0.9194,2.395,0.4399,0,0,0.0623
ENSG00000189433,GJB4,0.0372,0.0668,0,0,0,0
ENSG00000188910,GJB3,1.09,0.156,0.5245,0.0658,0.0469,0
ENSG00000255811,RP1-34M23.5,0,0,0,0,0,0
ENSG00000187513,GJA4,3.511,6.229,0.5034,0.2057,0.0814,1.476
ENSG00000230163,RP5-997D16.2,1.112,0.3695,0.1242,0.8721,0,1.76
ENSG00000116544,DLGAP3,59.91,15.24,10.61,0.5032,0,1.306
ENSG00000241014,RP11-244H3.1,1.55,1.754,0.1846,1.531,0.1039,4.433
ENSG00000243749,TMEM35B,6.873,18.88,2.441,13.49,2.012,32.96
ENSG00000163867,ZMYM6,3.403,2.402,1.392,1.281,0.1545,2.105
ENSG00000233940,RPL12P45,0,0,0,0,0,0
ENSG00000197056,ZMYM1,1.055,1.014,0.4013,0.2438,0.0811,0.9361
ENSG00000228348,EFCAB14P1,0,0,0,0,0,0
ENSG00000116560,SFPQ,45.51,24.19,10.42,32.54,2.357,60.46
ENSG00000201868,Y_RNA,0,0,0,0,0,0
ENSG00000146463,ZMYM4,13.2,7.813,4.755,2.142,0.2266,3.806
ENSG00000240374,RN7SL503P,0,0,0,0,0,0
ENSG00000201542,SNORA62,0,0,0,0,0,0
ENSG00000229994,RPL5P4,1.833,1.111,1.783,0.753,0.1262,1.335
ENSG00000227409,ZMYM4-AS1,0,0,0,0,0,0
ENSG00000278702,Metazoa_SRP,0,0,0,0,0,0.1308
ENSG00000142687,KIAA0319L,14.29,13.31,4.475,10.36,1.331,21.9
ENSG00000236274,RP4-728D4.3,0,0,0,0,0,0
ENSG00000020129,NCDN,242.4,68.76,32.56,5.091,0.3548,12.71
ENSG00000239636,RP4-728D4.2,0.5873,0.3371,0.063,3.398,0.3543,3.39
ENSG00000116819,TFAP2E,4.817,5.596,0.6652,0.9131,0.1992,2.567
ENSG00000126067,PSMB2,19.94,18.9,5.441,15.88,1.114,27.31
ENSG00000142686,C1orf216,57.23,17.27,8.008,1.298,0.5085,3.771
ENSG00000092853,CLSPN,0.287,0.0965,0.024,0.2294,0.0056,0.5023
ENSG00000232335,RP11-435D7.3,0,0.1027,0,0.1515,0,0.1631
ENSG00000134698,AGO4,7.087,5.539,2.637,7.193,1.216,12.5
ENSG00000092847,AGO1,7.045,5.439,2.899,4.151,0.4353,6.657
ENSG00000271164,RP4-789D17.4,0,0,0,0,0,0
ENSG00000126070,AGO3,1.741,1.453,0.5388,0.7397,0.0906,1.16
ENSG00000271554,RP4-665N4.8,0.0388,0,0,0,0,0.2211
ENSG00000232862,RP4-665N4.4,0.1595,0,0.2315,0.0234,0,0
ENSG00000092850,TEKT2,1.766,0.538,0.211,0.0397,0,0.0854
ENSG00000116863,ADPRHL2,22.23,21.55,6.88,14.02,1.576,25.04
ENSG00000171812,COL8A2,0.8861,1.162,0.4021,0.3277,0.0718,0.6693
ENSG00000054116,TRAPPC3,18.66,15.27,3.971,10.49,2.684,17.53
ENSG00000116871,MAP7D1,94.62,56.69,16.22,106.9,5.053,168.6
ENSG00000264592,RN7SL131P,0,0,0,0,0,0
ENSG00000054118,THRAP3,25.87,19.28,8.522,32.86,3.607,52.51
ENSG00000231849,UBE2V2P4,0,0,0,0,0,0
ENSG00000214193,SH3D21,2.837,1.236,0.2754,14.23,0.3691,8.72
ENSG00000142694,EVA1B,6.866,10.39,2.576,7.933,0.7335,14.34
ENSG00000116883,RP11-268J15.5,12.18,4.359,1.454,2.322,0.0727,2.417
ENSG00000196182,STK40,11.45,17.2,3.066,77.64,6.152,90.6
ENSG00000181817,LSM10,31.97,27.96,9.125,46.4,9.308,64.63
ENSG00000222821,RNU4-27P,0,0,0,0,0,0
ENSG00000116885,OSCP1,7.73,5.644,1.753,0.2308,0,0.265
ENSG00000201448,SNORA63,3.277,1.444,3.235,0,0,0
ENSG00000116898,MRPS15,24.56,17.71,7.523,9.609,2.014,14.8
ENSG00000119535,CSF3R,6.579,15.08,0.5702,814.6,118.2,1398
ENSG00000230214,FTLP18,0,0,0,0,0,0
ENSG00000234481,RP4-614N24.1,0,0,0.0644,0,0,0
ENSG00000163873,GRIK3,6.638,3.05,1.135,0,0.0083,0.0418
ENSG00000264698,MIR4255,0,0,0,0,0,0
ENSG00000207328,RNU6-636P,0,0,0,0,0,0
ENSG00000223944,RP5-1180C18.1,0.5972,0,0.1,0,0,0
ENSG00000252368,RNA5SP43,0,0,0,0,0,0
ENSG00000230451,RPS29P6,0.7671,0,0,0,0,0
ENSG00000233621,LINC01137,2.887,1.43,0.7265,1.8,0.3407,2.574
ENSG00000163874,ZC3H12A,0.4795,1.232,0.1264,54.33,2.144,134.8
ENSG00000283724,MIR6732,0,0,0,0.6541,0,0.704
ENSG00000163875,MEAF6,38.75,25.72,8.616,10.41,1.107,21.05
ENSG00000263675,MIR5581,0,0,0,0,0,0
ENSG00000163877,SNIP1,3.716,3.183,1.143,2.204,0.2168,3.142
ENSG00000232273,FTH1P1,0.2509,0.15,0.1681,0.2951,0,0.1588
ENSG00000237749,RP3-423B22.5,0.3517,0.4206,0.2356,0,0,0.167
ENSG00000163879,DNALI1,8.306,10.37,2.222,0.0356,0.0127,0.0861
ENSG00000134697,GNL2,6.624,6.47,1.782,4.37,0.505,7.162
ENSG00000169218,RSPO1,0.0144,0,0,0,0.0091,0.0273
ENSG00000116922,C1orf109,4.275,3.696,1.573,0.7169,0.1513,1.962
ENSG00000134690,CDCA8,0.5587,0.5064,0.0724,3.242,0.2944,6.159
ENSG00000183317,EPHA10,5.062,2.174,0.8897,0.0099,0.0071,0.0427
ENSG00000200421,Y_RNA,0,0,0,0,0,0
ENSG00000214141,ACTN4P2,0.0706,0,0.0315,0,0,0
ENSG00000227416,RP11-109P14.2,0,0,0.0695,0,0,0
ENSG00000185090,MANEAL,9.617,4.557,2.417,0.3217,0.0121,0.4191
ENSG00000196449,YRDC,10.96,9.454,2.399,3.754,0.5308,8.884
ENSG00000197982,C1orf122,112.4,90.98,61.29,11.42,3.621,20.51
ENSG00000188786,MTF1,3.557,3.206,1.345,6.906,0.8677,13.59
ENSG00000235673,RP11-109P14.8,0,0,0,0,0,0
ENSG00000204084,INPP5B,2.48,3.152,0.5362,3.052,0.3177,5.819
ENSG00000252448,SNORA63,0,0,0,0,0,0
ENSG00000222282,RNU6-584P,0,0,0,0,0,0
ENSG00000277168,Metazoa_SRP,0,0,0,0,0,0
ENSG00000183431,SF3A3,12.02,12.18,3.735,18.71,1.339,24.24
ENSG00000212541,RNU6-510P,0.206,0.739,0.276,0.3634,0,0
ENSG00000183386,FHL3,8.348,11.55,1.71,100.1,3.404,158.9
ENSG00000183520,UTP11,10.5,8.873,2.483,1.727,0.3387,4.355
ENSG00000185668,POU3F1,0.8658,0.3289,0.7506,0.1078,0,0.1934
ENSG00000224592,RP5-884C9.2,1.529,2.023,0.5665,0,0,0
ENSG00000223589,RP5-884C9.3,0,0,0.0877,0,0,0
ENSG00000265596,MIR3659,0,0,0,0,0,0
ENSG00000237290,LINC01343,0,0.1049,0.0392,0.0172,0,0
ENSG00000275350,RP11-329N22.2,0,0,0,0,0,0
ENSG00000200796,RNU6-753P,0,0,0,0,0,0
ENSG00000238063,LINC01685,0,0,0,0.0524,0,0.3104
ENSG00000215895,RP11-334L9.1,0.034,0.0814,0,0.2403,0,0.0215
ENSG00000116954,RRAGC,15.14,18.73,6.439,10.16,1.491,11.91
ENSG00000228436,RP5-864K19.4,4.338,3.379,1.706,0.4914,0.05,0.7556
ENSG00000214114,MYCBP,3.024,4.184,1.331,5.182,1.303,11.89
ENSG00000131233,GJA9,0.2159,0.2581,0.1928,0,0,0
ENSG00000158315,RHBDL2,3.737,2.791,1.892,0.0298,0.0425,0.1124
ENSG00000199963,RNU6-605P,0,0,0,0,0,0
ENSG00000207466,Y_RNA,0,0,0,0,0,0
ENSG00000235549,EIF1P2,0,0.076,0,0,0,0
ENSG00000174574,AKIRIN1,42.21,33.83,14.67,17.38,3.162,24.78
ENSG00000168653,NDUFS5,658.4,389.4,204,41.03,10.36,110.8
ENSG00000127603,MACF1,16.19,14.99,5.725,3.36,0.3745,5.756
ENSG00000206654,RNU6-608P,0,0,0,0,0,0
ENSG00000222378,RNA5SP44,0,0,0,0,0,0
ENSG00000270040,RP11-416A14.1,0.5487,1.909,0.1337,0.7039,0.1254,0.4735
ENSG00000226438,RP11-420K8.1,0,0,0,0,0,0.0902
ENSG00000217897,HSPE1P8,0.0772,0.1848,0,0,0,0
ENSG00000183682,BMP8A,1.271,0.3885,0.0946,0.2242,0,0.6168
ENSG00000237624,OXCT2P1,0.3478,0.0347,0.0194,0,0,0.055
ENSG00000182109,RP11-69E11.4,3.55,3.041,0.6968,3.757,0.6329,7.899
ENSG00000243970,PPIEL,1.729,1.363,0.6319,0.416,0.0988,1.194
ENSG00000090621,PABPC4,29.43,22.29,6.717,38.65,2.359,68.59
ENSG00000201457,SNORA55,0.1648,0.1971,0,0.8721,0,0.6258
ENSG00000228060,RP11-69E11.8,0,0.0741,0,0,0,0.1177
ENSG00000163909,HEYL,4.43,5.218,0.8223,0.0965,0.084,0.2077
ENSG00000225903,RP1-144F13.3,0.0732,0,0,0,0,0
ENSG00000116981,NT5C1A,1.105,0.3605,0.1077,0.0709,0,0.1526
ENSG00000116983,HPCAL4,185.6,42,22.75,0.3243,0.0563,2.886
ENSG00000084072,PPIE,6.007,7.434,2.943,4.38,0.8121,13.27
ENSG00000225333,RP1-144F13.4,0.1567,0.0468,0,0,0,0
ENSG00000252413,RNU7-121P,0,0,0,0,0,0
ENSG00000116985,BMP8B,5.367,2.508,1.32,0.3393,0.0413,1.363
ENSG00000198754,OXCT2,0.3777,0.2477,0.0163,0.1504,0,0.3007
ENSG00000261798,RP1-118J21.25,0.0744,0.2224,0.1246,0.0656,0.0468,0.1413
ENSG00000229213,RP1-118J21.24,0,0,0,0,0,0
ENSG00000043514,TRIT1,8.652,7.76,1.488,1.84,0.4369,7.608
ENSG00000202222,Y_RNA,0,0,0,0,0,0
ENSG00000116990,MYCL,0.7819,0.44,0.2218,0.6247,0.0462,1.196
ENSG00000236546,RP1-118J21.5,0,0,0,0,0,0.0756
ENSG00000207356,Y_RNA,0,0,0,0,0,0
ENSG00000168389,MFSD2A,5.968,6.381,0.7067,7.081,0.2582,6.525
ENSG00000228477,RP3-342P20.2,0.7058,0.5871,0.0411,0.9202,0.1157,1.515
ENSG00000131236,CAP1,71.93,66.89,21.83,256.8,36.42,376.8
ENSG00000131238,PPT1,67.88,66.8,24.08,87.76,9.117,151.3
ENSG00000226745,RP11-115D7.3,0.2273,0.233,0.0435,0.0573,0,0
ENSG00000117000,RLF,4.759,4.903,1.322,14.41,2.095,21.48
ENSG00000207508,RNU6-1237P,0,0,0,0,0,0
ENSG00000188800,TMCO2,0,0,0,0.0883,0,0
ENSG00000259943,RP1-39G22.7,12.07,14.02,5.996,0.2547,0.1089,1.425
ENSG00000084073,ZMPSTE24,14.59,12.57,9.021,3.339,0.8921,4.954
ENSG00000231296,RP1-39G22.4,0,0,0,0,0,0.3505
ENSG00000049089,COL9A2,57.47,38.46,18.1,11.24,0.9705,12.15
ENSG00000227311,RP1-228H13.1,0.1854,0,0.3726,0,0,0
ENSG00000084070,SMAP2,49.52,25.07,6.387,190.5,49.13,311.3
ENSG00000213172,RP1-228H13.2,0,0,0,0,0,0
ENSG00000187801,ZFP69B,1.519,0.6434,0.2968,0.1489,0.0265,0.4606
ENSG00000260920,RP1-228H13.5,3.179,0.8582,0.7181,0.1282,0.0685,0.7761
ENSG00000279667,RP11-656D10.7,0.7969,0.6089,0.0593,0,0,0.0841
ENSG00000187815,ZFP69,4.658,2.891,1.009,0.3141,0.2583,0.7543
ENSG00000238287,RP11-656D10.3,1.177,0.3518,0.5419,0,0,0.4189
ENSG00000164002,EXO5,1.715,0.7932,0.4062,0.3677,0.262,2.087
ENSG00000227278,RP11-656D10.5,0,0,0,0,0,0
ENSG00000238186,RP11-656D10.6,0.7416,0.739,0.3312,0.218,0,0.2347
ENSG00000117010,ZNF684,1.398,1.698,0.5394,0.2324,0.0736,0.2224
ENSG00000236505,RP1-63P18.2,0,0,0,0,0,0
ENSG00000233910,GTF2F2P2,0.0617,0,0,0,0,0
ENSG00000117016,RIMS3,47.9,17.09,4.285,0.1356,0.0541,0.6772
ENSG00000237899,RP4-739H11.3,0,0,0,0,0,0
ENSG00000272145,NFYC-AS1,1.858,2.203,0.5348,0.0542,0.1351,0.4081
ENSG00000066136,NFYC,12.53,8.455,3.464,25.71,1.947,45.04
ENSG00000198974,MIR30E,0,0,0,0,0,0
ENSG00000207962,MIR30C1,0,0,0,0,0,0
ENSG00000117013,KCNQ4,2.303,0.9731,0.2138,0.3659,0.0334,0.6261
ENSG00000264582,RN7SL326P,0,0,0,0,0,0
ENSG00000179862,CITED4,7.033,7.783,1.268,8.678,0.2125,10.01
ENSG00000229528,RP5-1066H13.4,0,0,0,0,0,0.0897
ENSG00000228940,RP11-348A7.1,0,0,0.0324,0,0.0607,0
ENSG00000233118,UBE2V1P8,0,0,0,0,0,0
ENSG00000171793,CTPS1,4.069,2.601,0.322,2.349,0.3839,5.637
ENSG00000281207,SLFNL1-AS1,0.0791,0.1104,0.0177,0.128,0.0249,0.3381
ENSG00000171790,SLFNL1,0.1699,0.0883,0.0396,0.1042,0,0.4067
ENSG00000010803,SCMH1,15.73,10.32,4.396,4.954,0.1957,9.767
ENSG00000215893,RPL23AP17,0,0,0,0,0,0
ENSG00000235358,RP11-399E6.1,0.0457,0.2188,0,0,0,0
ENSG00000213987,RP11-399E6.2,0,0,0,0,0,0
ENSG00000204060,FOXO6,3.145,1.642,0.2237,0.0327,0,0.3875
ENSG00000229901,RP11-399E6.4,0,0.3376,0,0,0,0
ENSG00000252563,RNA5SP45,0,0,0,0,0,0
ENSG00000127129,EDN2,0.0543,0.0325,0.0364,0,0,0
ENSG00000127124,HIVEP3,2.363,2.137,0.2977,2.095,0.0846,3.384
ENSG00000230881,RP11-486B10.3,0,0.1004,0,0,0,0.1594
ENSG00000230638,RP11-486B10.4,0.0198,0.0949,0,0.175,0.0125,0.113
ENSG00000227538,HNRNPFP1,0,0,0,0,0,0
ENSG00000228776,RP11-319C21.1,0,0,0,0,0,0
ENSG00000044012,GUCA2B,0,0,0,0,0,0.1415
ENSG00000197273,GUCA2A,0.0391,0.187,0,0,0,0.1485
ENSG00000198815,FOXJ3,12.44,8.839,3.044,7.065,0.6287,13.05
ENSG00000227527,RP11-223A3.1,0.7405,0.7647,0.2255,0,0,0.1917
ENSG00000177181,RIMKLA,6.49,1.804,0.8131,0.0743,0,0.047
ENSG00000235002,RP11-157D18.2,0,0,0,0,0,0
